#plate-ifu   agc   sep   dv   mhi   mhilim200   rms
10499-12705       180523       13.1521       21.8399       10.0900       -1.0000000       2.45954
10499-1901       184135       5.92030       18.8423       9.58000       -1.0000000       2.53408
10499-1902         4617       29.6325       7.98304       10.2300       -1.0000000       2.44701
10499-3701         4589       71.3074       39.7909       9.45000       -1.0000000       2.35386
10499-3702       184252       11.9817       12.9332       10.0200       -1.0000000       2.62513
10499-3703       184266       79.7296       11.3925       10.1300       -1.0000000       2.51973
10499-3704         4636       10.5774       25.5367       9.88000       -1.0000000       2.49559
10499-6101           -1      -1.00000      -1.00000      -1.00000        10.391666       2.84719
10499-6102       180497       44.2288       96.0522       9.46000       -1.0000000       2.48999
10499-6103       721325       17.6875      0.722880       9.48000       -1.0000000       2.45968
10499-6104           -1      -1.00000      -1.00000      -1.00000        10.372134       2.90322
10499-9101           -1      -1.00000      -1.00000      -1.00000        10.405872       2.63790
10499-9102           -1      -1.00000      -1.00000      -1.00000        10.278274       2.99840
10503-12701       201527       16.7164       2.46132       9.93000       -1.0000000       2.68773
10503-12702         5784       21.1353       12.2887       10.1400       -1.0000000       2.47037
10503-12703         5811       25.2872       58.2275       9.85000       -1.0000000       2.54739
10503-12704         5779       24.0581       31.2987       10.1800       -1.0000000       2.55456
10503-12705           -1      -1.00000      -1.00000      -1.00000        10.029693       2.69719
10503-1901           -1      -1.00000      -1.00000      -1.00000        9.2404698       2.33883
10503-1902         5788       110.353       118.400       9.96000       -1.0000000       2.93173
10503-3701           -1      -1.00000      -1.00000      -1.00000        9.2852356       2.72697
10503-3702           -1      -1.00000      -1.00000      -1.00000        9.2814706       2.59912
10503-3703       203964       10.0398       9.64774       9.50000       -1.0000000       2.12450
10503-3704           -1      -1.00000      -1.00000      -1.00000        9.0871685       1.91575
10503-6101           -1      -1.00000      -1.00000      -1.00000        9.2013637       2.54326
10503-6102           -1      -1.00000      -1.00000      -1.00000        9.2042964       2.48804
10503-6103           -1      -1.00000      -1.00000      -1.00000        9.2367000       2.59000
10503-6104           -1      -1.00000      -1.00000      -1.00000        9.2576189       2.64578
10503-9101           -1      -1.00000      -1.00000      -1.00000        10.130397       3.36379
10503-9102       201013       58.8389       5.49938       9.64000       -1.0000000       2.51142
10504-12701           -1      -1.00000      -1.00000      -1.00000        8.9315463       1.95432
10504-12703       195022       29.4428       5.97694       9.37000       -1.0000000       2.95454
10504-12704       190252       13.1797       21.3822       10.0500       -1.0000000       3.42486
10504-12705           -1      -1.00000      -1.00000      -1.00000        9.0224139       2.32873
10504-1901           -1      -1.00000      -1.00000      -1.00000        8.9817704       2.09986
10504-3701           -1      -1.00000      -1.00000      -1.00000        9.1732266       3.17964
10504-3702           -1      -1.00000      -1.00000      -1.00000        8.9852428       2.00792
10504-3703           -1      -1.00000      -1.00000      -1.00000        9.1401088       3.00453
10504-3704           -1      -1.00000      -1.00000      -1.00000        8.8970283       1.98210
10504-6101           -1      -1.00000      -1.00000      -1.00000        8.9960259       2.37745
10504-6102           -1      -1.00000      -1.00000      -1.00000        9.1107111       3.08138
10504-6103           -1      -1.00000      -1.00000      -1.00000        9.3670217       5.17146
10504-9101       191149       43.7173       67.7976       8.93000       -1.0000000       2.44086
10506-12703       194826       56.5706       9.46500       9.60000       -1.0000000       3.19132
10506-1902           -1      -1.00000      -1.00000      -1.00000        8.9645777       2.11220
10506-3703           -1      -1.00000      -1.00000      -1.00000        9.3844610       4.32909
10506-6101           -1      -1.00000      -1.00000      -1.00000        9.0180314       2.08589
10511-12701           -1      -1.00000      -1.00000      -1.00000        9.2847144       2.83913
10511-12702           -1      -1.00000      -1.00000      -1.00000        10.664201       3.79331
10511-12703           -1      -1.00000      -1.00000      -1.00000        10.346008       2.75721
10511-12704       182075       89.0607       113.030       9.96000       -1.0000000       2.77973
10511-12705         4553       26.2411       5.21224       10.4400       -1.0000000       2.86707
10511-1901       182062       11.4816       39.9939       9.29000       -1.0000000       2.61179
10511-1902           -1      -1.00000      -1.00000      -1.00000        9.2321600       2.89374
10511-3701       182275       16.5561       12.6238       9.78000       -1.0000000       2.83531
10511-3702           -1      -1.00000      -1.00000      -1.00000        9.4643567       2.68016
10511-3703           -1      -1.00000      -1.00000      -1.00000        10.133398       2.61948
10511-3704           -1      -1.00000      -1.00000      -1.00000        9.2736316       2.67501
10511-6101       182246       3.28712       21.2290       9.62000       -1.0000000       2.74672
10511-6102           -1      -1.00000      -1.00000      -1.00000        9.9102679       2.63437
10511-6103           -1      -1.00000      -1.00000      -1.00000        10.154245       2.76588
10511-6104           -1      -1.00000      -1.00000      -1.00000        10.336093       2.70430
10511-9101           -1      -1.00000      -1.00000      -1.00000        10.197433       3.13896
10511-9102           -1      -1.00000      -1.00000      -1.00000        9.9836976       3.19285
10512-12701           -1      -1.00000      -1.00000      -1.00000        9.7966319       2.77168
10512-12702       190021       34.1425       5.95514       9.59000       -1.0000000       2.71874
10512-12703           -1      -1.00000      -1.00000      -1.00000        10.038276       2.74575
10512-12704           -1      -1.00000      -1.00000      -1.00000        10.171549       3.43237
10512-12705       191076       23.7564       12.4419       9.73000       -1.0000000       2.90343
10512-1901           -1      -1.00000      -1.00000      -1.00000        9.3457357       3.41956
10512-1902           -1      -1.00000      -1.00000      -1.00000        9.1255880       2.69897
10512-3701           -1      -1.00000      -1.00000      -1.00000        10.608574       3.08398
10512-3702           -1      -1.00000      -1.00000      -1.00000        9.2196139       2.87229
10512-3703           -1      -1.00000      -1.00000      -1.00000        9.2128164       2.58303
10512-3704           -1      -1.00000      -1.00000      -1.00000        10.177536       3.42944
10512-6101           -1      -1.00000      -1.00000      -1.00000        9.2345050       2.70774
10512-6102       192998       28.2023       5.39216       9.73000       -1.0000000       3.34032
10512-6103           -1      -1.00000      -1.00000      -1.00000        9.2031247       2.65251
10512-6104           -1      -1.00000      -1.00000      -1.00000        9.1174231       2.65163
10512-9101           -1      -1.00000      -1.00000      -1.00000        9.8596263       2.77498
10512-9102       191449       11.0780       71.1950       9.60000       -1.0000000       2.78743
10514-12701       191246       24.2708       5.26698       9.34000       -1.0000000       2.77038
