#plate-ifu   agc   sep   dv   mhi   mhilim200   rms
8152-6101           -1      -1.00000      -1.00000      -1.00000        9.6877246       3.10433
8152-6102           -1      -1.00000      -1.00000      -1.00000        9.3105011       3.25261
8152-6103           -1      -1.00000      -1.00000      -1.00000        9.3150445       3.29927
8152-6104           -1      -1.00000      -1.00000      -1.00000        9.3033795       3.12719
8152-9101           -1      -1.00000      -1.00000      -1.00000        9.8514281       3.37467
8152-9102           -1      -1.00000      -1.00000      -1.00000        9.8808801       3.44508
8153-12701           -1      -1.00000      -1.00000      -1.00000        9.6385162       3.26430
8153-12702           -1      -1.00000      -1.00000      -1.00000        9.6264775       3.36266
8153-12703           -1      -1.00000      -1.00000      -1.00000        9.1461763       3.32464
8153-12704           -1      -1.00000      -1.00000      -1.00000        9.7659091       4.22543
8153-12705           -1      -1.00000      -1.00000      -1.00000        9.2546127       3.81924
8153-1901           -1      -1.00000      -1.00000      -1.00000        9.1251316       3.01430
8153-1902           -1      -1.00000      -1.00000      -1.00000        9.8459986       4.23694
8153-3701           -1      -1.00000      -1.00000      -1.00000        9.6625264       3.86938
8153-3702           -1      -1.00000      -1.00000      -1.00000        10.093640       3.61075
8153-3703           -1      -1.00000      -1.00000      -1.00000        9.3139072       2.97546
8153-3704           -1      -1.00000      -1.00000      -1.00000        9.7521094       2.82612
8153-6101           -1      -1.00000      -1.00000      -1.00000        10.887994       5.01284
8153-6102           -1      -1.00000      -1.00000      -1.00000        9.3641326       3.73941
8153-6103           -1      -1.00000      -1.00000      -1.00000        9.8553138       3.71810
8153-9101           -1      -1.00000      -1.00000      -1.00000        10.327474       4.73283
8153-9102       121774       38.7248       9.02096       9.44000       -1.0000000       3.25217
8154-12701           -1      -1.00000      -1.00000      -1.00000        9.5312485       3.96441
8154-12702           -1      -1.00000      -1.00000      -1.00000        9.3911070       3.58107
8154-12703       131097       45.2643       10.7382       9.66000       -1.0000000       3.11708
8154-12704           -1      -1.00000      -1.00000      -1.00000        10.141803       3.51287
8154-12705         2502       20.7818       7.39618       9.94000       -1.0000000       3.26452
8154-1901           -1      -1.00000      -1.00000      -1.00000        10.287931       4.34502
8154-1902           -1      -1.00000      -1.00000      -1.00000        9.4614595       4.18958
8154-3701           -1      -1.00000      -1.00000      -1.00000        9.8851724       4.68415
8154-3702           -1      -1.00000      -1.00000      -1.00000        10.112769       3.35983
8154-3703           -1      -1.00000      -1.00000      -1.00000        9.7481989       3.51338
8154-3704           -1      -1.00000      -1.00000      -1.00000        9.4850010       4.09143
8154-6101           -1      -1.00000      -1.00000      -1.00000        9.8591071       4.40129
8154-6102           -1      -1.00000      -1.00000      -1.00000        9.4724694       4.06498
8154-6103           -1      -1.00000      -1.00000      -1.00000        9.4757321       4.08283
8154-6104           -1      -1.00000      -1.00000      -1.00000        9.7597955       3.67726
8154-9101           -1      -1.00000      -1.00000      -1.00000        9.8497588       4.35635
8154-9102           -1      -1.00000      -1.00000      -1.00000        9.3966737       3.78188
8241-12701       716722       2.99654       4.85294       9.55000       -1.0000000       2.27879
8241-12703         4407       7.71975       6.84796       10.3200       -1.0000000       2.59690
8241-1902       716707       22.1294       18.0158       9.69000       -1.0000000       2.60161
8241-3704           -1      -1.00000      -1.00000      -1.00000        9.9411869       2.32533
8241-6101       716786       23.7860       17.6954       9.52000       -1.0000000       2.29016
8241-6102       180251       32.1803       12.0896       9.62000       -1.0000000       2.36834
8241-9101           -1      -1.00000      -1.00000      -1.00000        9.9022405       2.64786
8241-9102           -1      -1.00000      -1.00000      -1.00000        9.9987361       2.60220
8248-12702         4839       18.5297       2.23150       10.1700       -1.0000000       2.72682
8248-12703       717273       20.4710       17.4822       9.95000       -1.0000000       2.54012
8248-12705         4864       6.57272       17.1909       10.1000       -1.0000000       2.51847
8248-1901           -1      -1.00000      -1.00000      -1.00000        9.3049955       2.59703
8248-1902           -1      -1.00000      -1.00000      -1.00000        10.200673       2.18755
8248-3701       717278       25.6696       58.9350       9.67000       -1.0000000       2.66755
8248-3702           -1      -1.00000      -1.00000      -1.00000        9.9871029       2.51002
8248-3703           -1      -1.00000      -1.00000      -1.00000        9.3538160       2.59039
8248-3704           -1      -1.00000      -1.00000      -1.00000        9.1411555       2.45869
8248-6101           -1      -1.00000      -1.00000      -1.00000        10.224515       3.74516
8248-6102           -1      -1.00000      -1.00000      -1.00000        10.018614       2.26687
8248-6103           -1      -1.00000      -1.00000      -1.00000        10.416866       2.51098
8248-6104       717374       15.8104       4.13650       9.39000       -1.0000000       2.53794
8248-9101           -1      -1.00000      -1.00000      -1.00000        10.538661       2.49693
8248-9102           -1      -1.00000      -1.00000      -1.00000        10.080087       2.35964
8311-12701           -1      -1.00000      -1.00000      -1.00000        10.108157       2.87208
8311-12702           -1      -1.00000      -1.00000      -1.00000        9.7662302       2.75676
8311-12703           -1      -1.00000      -1.00000      -1.00000        9.3843538       2.74577
8311-12704           -1      -1.00000      -1.00000      -1.00000        9.4109214       2.58399
8311-12705           -1      -1.00000      -1.00000      -1.00000        9.6815506       2.87803
8311-1901           -1      -1.00000      -1.00000      -1.00000        9.1994780       2.30168
8311-1902           -1      -1.00000      -1.00000      -1.00000        9.3653194       2.72461
8311-3701           -1      -1.00000      -1.00000      -1.00000        9.3640438       2.65697
8311-3702           -1      -1.00000      -1.00000      -1.00000        8.7536452       2.30426
8311-3703       231437       20.6653       3.17544       10.4700       -1.0000000       2.68845
8311-3704           -1      -1.00000      -1.00000      -1.00000        9.3447714       2.42114
8311-6101           -1      -1.00000      -1.00000      -1.00000        10.356011       2.86571
8311-6102           -1      -1.00000      -1.00000      -1.00000        9.3409039       2.51581
8311-6103           -1      -1.00000      -1.00000      -1.00000        9.6719721       2.89538
8311-6104           -1      -1.00000      -1.00000      -1.00000        9.2296382       2.82216
8311-9101           -1      -1.00000      -1.00000      -1.00000        9.6235693       2.76221
8311-9102           -1      -1.00000      -1.00000      -1.00000        10.109226       2.87571
8320-12701       743219       40.3381       8.13698       10.0900       -1.0000000       2.75252
8320-12702           -1      -1.00000      -1.00000      -1.00000        9.2333293       2.53195
8320-12703         8706       12.3525       8.89144       10.1600       -1.0000000       2.51654
8320-12704       743332       41.8070       53.6305       9.47000       -1.0000000       2.36952
8320-12705         8703       24.3231       14.1555       10.0300       -1.0000000       2.46877
8320-1901           -1      -1.00000      -1.00000      -1.00000        9.2299096       2.54855
8320-1902           -1      -1.00000      -1.00000      -1.00000        9.2085843       2.38615
8320-3701           -1      -1.00000      -1.00000      -1.00000        9.2338371       2.58524
8320-3702       230557       31.5474       58.7225       9.47000       -1.0000000       2.81704
8320-3703           -1      -1.00000      -1.00000      -1.00000        9.2226881       2.47557
8320-3704           -1      -1.00000      -1.00000      -1.00000        9.2425185       2.65657
8320-6101       231481       111.817       16.0264       9.50000       -1.0000000       2.84663
8320-6102           -1      -1.00000      -1.00000      -1.00000        9.2047016       2.39681
8320-6103           -1      -1.00000      -1.00000      -1.00000        9.8043241       2.62238
8320-6104           -1      -1.00000      -1.00000      -1.00000        9.3131741       2.63632
8320-9101       231473       16.4417       99.8887       9.93000       -1.0000000       2.51169
8322-12701         8294       11.8570       5.84214       9.75000       -1.0000000       2.37254
8322-12702           -1      -1.00000      -1.00000      -1.00000        9.6837350       2.46393
8322-12703       725559       26.6667       15.5598       9.43000       -1.0000000       2.72935
8322-12704         8337       13.0943      0.139420       9.95000       -1.0000000       2.77227
8322-12705       230308       44.4045       39.9596       10.4900       -1.0000000       3.05861
8322-1901           -1      -1.00000      -1.00000      -1.00000        9.0551362       2.44602
8322-1902           -1      -1.00000      -1.00000      -1.00000        9.6929448       2.61947
8322-3701       230212       47.5825       10.0827       10.3900       -1.0000000       2.67702
8322-3702           -1      -1.00000      -1.00000      -1.00000        9.7254492       2.85032
8322-3703           -1      -1.00000      -1.00000      -1.00000        8.8290834       2.52700
8322-3704           -1      -1.00000      -1.00000      -1.00000        9.4555230       2.46113
8322-6101           -1      -1.00000      -1.00000      -1.00000        9.9162010       2.55470
8322-6103           -1      -1.00000      -1.00000      -1.00000        8.8672006       2.46699
8322-6104           -1      -1.00000      -1.00000      -1.00000        9.7079604       2.67678
8322-9101       230227       9.83975       3.16140       9.57000       -1.0000000       2.21322
8322-9102           -1      -1.00000      -1.00000      -1.00000        9.6925152       2.76516
8323-12701       234266       12.5834       5.10310       10.0600       -1.0000000       2.69912
8323-12702       728627       18.8693       26.0517       9.33000       -1.0000000       3.16547
8323-12705           -1      -1.00000      -1.00000      -1.00000        9.4801476       3.04666
8323-1902           -1      -1.00000      -1.00000      -1.00000        9.4808515       3.17717
8323-3701           -1      -1.00000      -1.00000      -1.00000        9.4664709       3.06902
8323-3702           -1      -1.00000      -1.00000      -1.00000        9.1925421       3.02300
8323-3703           -1      -1.00000      -1.00000      -1.00000        10.185804       3.88378
8323-3704           -1      -1.00000      -1.00000      -1.00000        9.4917368       3.03516
8323-6101           -1      -1.00000      -1.00000      -1.00000        9.4642836       2.97101
8323-6102           -1      -1.00000      -1.00000      -1.00000        9.8605698       3.51561
8323-6104           -1      -1.00000      -1.00000      -1.00000        8.8310950       3.11315
8323-9101           -1      -1.00000      -1.00000      -1.00000        9.5096659       3.15272
8323-9102           -1      -1.00000      -1.00000      -1.00000        9.5929725       3.08004
8338-12701         6465       10.9549       2.47954       10.0700       -1.0000000       2.47117
8338-12702           -1      -1.00000      -1.00000      -1.00000        9.5278532       2.68234
8338-12703       740962       44.8807       4.58574       8.94000       -1.0000000       2.37658
8338-12704       741011       18.4355       7.08288       9.65000       -1.0000000       2.50720
8338-12705           -1      -1.00000      -1.00000      -1.00000        10.642360       2.85455
8338-1901           -1      -1.00000      -1.00000      -1.00000        9.0043059       2.52745
8338-1902           -1      -1.00000      -1.00000      -1.00000        9.4636027       2.67610
8338-3701           -1      -1.00000      -1.00000      -1.00000        9.3371711       2.43314
8338-3702       740866       19.4355       3.32188       9.50000       -1.0000000       2.51352
8338-3703           -1      -1.00000      -1.00000      -1.00000        9.3328170       2.57919
8338-3704           -1      -1.00000      -1.00000      -1.00000        9.3571021       2.39057
8338-6101           -1      -1.00000      -1.00000      -1.00000        9.3209135       2.53789
8338-6102       741045       30.4357       11.7485       9.29000       -1.0000000       2.52968
8338-6103           -1      -1.00000      -1.00000      -1.00000        9.4209136       2.74716
8338-6104           -1      -1.00000      -1.00000      -1.00000        9.0003067       2.29424
8338-9101       740954       30.2425       50.8543       8.87000       -1.0000000       2.28735
8338-9102           -1      -1.00000      -1.00000      -1.00000        9.7481119       2.67306
8438-12701           -1      -1.00000      -1.00000      -1.00000        10.054074       2.59635
8438-12702         5362       3.45214       19.4478       10.0200       -1.0000000       2.56590
8438-12703           -1      -1.00000      -1.00000      -1.00000        10.265599       2.60596
8438-12704       718264       18.2055       5.08060       10.1900       -1.0000000      -1.00000
8438-12705           -1      -1.00000      -1.00000      -1.00000        9.7461278       2.64066
8438-1901           -1      -1.00000      -1.00000      -1.00000        9.1091690       2.33208
8438-1902       739157       5.05580       7.87278       10.2600       -1.0000000       2.54675
8438-3701           -1      -1.00000      -1.00000      -1.00000        9.5910411       2.50491
8438-3702           -1      -1.00000      -1.00000      -1.00000        10.436006       2.65212
8438-3703           -1      -1.00000      -1.00000      -1.00000        9.1021725       2.20820
8438-6101           -1      -1.00000      -1.00000      -1.00000        10.261895       2.54776
8438-6102       718158       36.9962       14.9300       10.2500       -1.0000000       2.59848
8438-6103           -1      -1.00000      -1.00000      -1.00000        10.650245       3.61717
8438-6104       739163       8.16491       30.7743       9.60000       -1.0000000       2.55857
8438-9101       718161       15.3860      0.909820       9.88000       -1.0000000       2.63244
8438-9102           -1      -1.00000      -1.00000      -1.00000        10.156954       2.75836
8442-12701           -1      -1.00000      -1.00000      -1.00000        9.7674361       2.82690
8442-12702           -1      -1.00000      -1.00000      -1.00000        9.6725598       2.66700
8442-12703         8346       23.6219       11.1500       9.47000       -1.0000000       2.68932
8442-12704       728797       24.3986       18.6498       10.1300       -1.0000000       2.61921
8442-12705         8356       18.9063       1.13744       9.71000       -1.0000000       2.35092
8442-1901           -1      -1.00000      -1.00000      -1.00000        9.3500868       2.01150
8442-1902           -1      -1.00000      -1.00000      -1.00000        9.0801442       2.59870
8442-3701           -1      -1.00000      -1.00000      -1.00000        9.2015139       2.06387
8442-3702           -1      -1.00000      -1.00000      -1.00000        9.7428144       2.89061
8442-3703           -1      -1.00000      -1.00000      -1.00000        9.4235137       2.04685
8442-3704           -1      -1.00000      -1.00000      -1.00000        9.5993171       2.23821
8442-6101           -1      -1.00000      -1.00000      -1.00000        9.9253073       2.58347
8442-6102       231925       27.4353       6.13854       9.96000       -1.0000000       2.19524
8442-6103           -1      -1.00000      -1.00000      -1.00000        9.9528867       2.79699
8442-6104           -1      -1.00000      -1.00000      -1.00000        9.4024176       2.17695
8442-9101       234394       16.9568       8.44774       9.61000       -1.0000000       1.99023
8442-9102       231926       28.4263       30.0857       9.65000       -1.0000000       2.36328
8443-12701           -1      -1.00000      -1.00000      -1.00000        8.9443042       2.30360
8443-12702           -1      -1.00000      -1.00000      -1.00000        9.7834269       2.69466
8443-12703         8797       27.2724       32.7584       10.7000       -1.0000000       2.54323
8443-12704       231508       38.7491       53.6488       9.64000       -1.0000000       2.40827
8443-12705       231550       52.1764       66.4136       9.58000       -1.0000000       2.32311
8443-1901         8763       55.9234       14.5271       9.63000       -1.0000000       2.38617
8443-1902           -1      -1.00000      -1.00000      -1.00000        9.2364959       2.22005
8443-3701           -1      -1.00000      -1.00000      -1.00000        9.2990971       2.59888
8443-3702           -1      -1.00000      -1.00000      -1.00000        9.4528766       2.39375
8443-3703           -1      -1.00000      -1.00000      -1.00000        10.010694       2.67136
8443-3704       235316       29.6401       32.7581       9.88000       -1.0000000       2.10484
8443-6101       231515       30.8479       86.7648       9.78000       -1.0000000       2.37033
8443-6102         8730       10.9204       5.22284       9.70000       -1.0000000       1.93021
8443-6103       230653       6.88737       1.52820       9.96000       -1.0000000       2.48874
8443-6104           -1      -1.00000      -1.00000      -1.00000        9.2129016       2.04697
8443-9101           -1      -1.00000      -1.00000      -1.00000        9.6790153       2.33612
8443-9102       235264       14.5443       6.82682       9.60000       -1.0000000       2.01515
8444-12701           -1      -1.00000      -1.00000      -1.00000        8.7653442       2.38026
8444-12702       234660       32.7073       21.3430       9.46000       -1.0000000       2.54254
8444-12703       230323       29.2168       8.12378       10.1600       -1.0000000       2.74949
8444-12704           -1      -1.00000      -1.00000      -1.00000        9.3819978       2.19287
8444-12705         8503       4.04910       1.13250       9.68000       -1.0000000       2.35970
8444-1901           -1      -1.00000      -1.00000      -1.00000        9.4180091       2.21679
8444-1902           -1      -1.00000      -1.00000      -1.00000        9.1306089       2.68733
8444-3701           -1      -1.00000      -1.00000      -1.00000        9.0598665       2.46871
8444-3702           -1      -1.00000      -1.00000      -1.00000        9.1140511       2.49420
8444-3703           -1      -1.00000      -1.00000      -1.00000        9.3910249       2.28528
8444-3704           -1      -1.00000      -1.00000      -1.00000        9.1726780       2.81707
8444-6101           -1      -1.00000      -1.00000      -1.00000        9.5577266       3.02658
8444-6102       234674       26.8584       7.96796       9.76000       -1.0000000       2.03212
8444-6103           -1      -1.00000      -1.00000      -1.00000        9.5578090       2.98534
8444-6104           -1      -1.00000      -1.00000      -1.00000        9.3846403       2.31758
8444-9101           -1      -1.00000      -1.00000      -1.00000        9.6005944       3.38285
8444-9102         8431       9.69161       16.0931       10.2600       -1.0000000       2.56504
8445-12701         8583       32.2395       9.18920       10.1200       -1.0000000       3.02444
8445-12702           -1      -1.00000      -1.00000      -1.00000        9.1779394       2.94810
8445-12703       729262       11.4183       13.2190       9.37000       -1.0000000       2.89485
8445-12704           -1      -1.00000      -1.00000      -1.00000        9.2036093       3.06612
8445-12705           -1      -1.00000      -1.00000      -1.00000        9.4824706       2.86011
8445-1901           -1      -1.00000      -1.00000      -1.00000        9.7040613       3.29401
8445-1902           -1      -1.00000      -1.00000      -1.00000        9.2682410       3.34798
8445-3701         8681       38.8670       8.69696       10.1200       -1.0000000       3.01520
8445-3704           -1      -1.00000      -1.00000      -1.00000        9.2193165       3.02466
8445-6101           -1      -1.00000      -1.00000      -1.00000        9.1857300       2.93076
8445-6103           -1      -1.00000      -1.00000      -1.00000        9.9767481       3.26557
8445-6104         8739       87.9224       85.5205       10.2200       -1.0000000       3.05783
8445-9101           -1      -1.00000      -1.00000      -1.00000        9.1849797       2.81607
8446-12701       729027       10.3316       14.6747       9.95000       -1.0000000      -1.00000
8446-12702           -1      -1.00000      -1.00000      -1.00000        9.7232445       2.28303
8446-3701           -1      -1.00000      -1.00000      -1.00000        10.010683       3.08626
8446-3704           -1      -1.00000      -1.00000      -1.00000        9.8482375       2.46668
8446-6101           -1      -1.00000      -1.00000      -1.00000        9.1925052       3.20767
8448-12701           -1      -1.00000      -1.00000      -1.00000        10.277084       2.64910
8448-12702       719266       2.85965       106.228       9.77000       -1.0000000       2.48491
8448-12703           -1      -1.00000      -1.00000      -1.00000        10.194063       3.31194
8448-12704           -1      -1.00000      -1.00000      -1.00000        9.0300731       2.42187
8448-12705       740556       16.1695       2.80778       9.50000       -1.0000000       2.54960
8448-1901           -1      -1.00000      -1.00000      -1.00000        8.9611958       2.29350
8448-1902           -1      -1.00000      -1.00000      -1.00000        9.6070642       2.60118
8448-3701           -1      -1.00000      -1.00000      -1.00000        8.9603449       2.37956
8448-3702       719290       52.8751       41.6711       9.12000       -1.0000000       2.57187
8448-3703           -1      -1.00000      -1.00000      -1.00000        10.700398       3.00987
8448-3704       740534       55.6120       2.14762       9.28000       -1.0000000       2.50999
8448-6101           -1      -1.00000      -1.00000      -1.00000        9.4137079       2.37274
8448-6102           -1      -1.00000      -1.00000      -1.00000        9.0350055       2.38686
8448-6103           -1      -1.00000      -1.00000      -1.00000        9.0303453       2.45690
8448-6104       719315       38.1057       20.2194       9.39000       -1.0000000       2.41167
8448-9101           -1      -1.00000      -1.00000      -1.00000        9.8827400       2.56029
8448-9102           -1      -1.00000      -1.00000      -1.00000        10.138303       2.65697
8449-12701           -1      -1.00000      -1.00000      -1.00000        9.0375788       2.52891
8449-12702         6254       21.7911       2.60036       9.66000       -1.0000000       2.46908
8449-12703         6246      0.814672       19.6467       9.95000       -1.0000000       2.41666
8449-12704       210170       23.9803       13.0292       10.0600       -1.0000000       2.47019
8449-12705         6301       10.1765       32.4653       10.6000       -1.0000000       2.84392
8449-1901           -1      -1.00000      -1.00000      -1.00000        9.3757715       2.64304
8449-1902           -1      -1.00000      -1.00000      -1.00000        9.0158197       2.39287
8449-3701           -1      -1.00000      -1.00000      -1.00000        9.3324289       2.48396
8449-3702           -1      -1.00000      -1.00000      -1.00000        9.1531246       2.43957
8449-3703       740698       38.7603       1.43810       9.83000       -1.0000000       2.61156
8449-3704           -1      -1.00000      -1.00000      -1.00000        9.1955580       2.64411
8449-6101       740695       25.4407       13.3559       9.50000       -1.0000000       2.62269
8449-6102           -1      -1.00000      -1.00000      -1.00000        9.0494017       2.37507
8449-6103           -1      -1.00000      -1.00000      -1.00000        9.3370000       2.41142
8449-6104           -1      -1.00000      -1.00000      -1.00000        9.0545192       2.49405
8449-9101           -1      -1.00000      -1.00000      -1.00000        9.0357388       2.51837
8449-9102       217467       14.0010       13.3363       9.68000       -1.0000000       2.35342
8450-12701       740825       25.1717       1.85168       10.1100       -1.0000000       2.70866
8450-12702       740899       7.81312       1.87002       9.92000       -1.0000000       2.61215
8450-12703           -1      -1.00000      -1.00000      -1.00000        9.6917001       2.72113
8450-12704           -1      -1.00000      -1.00000      -1.00000        9.7057294       2.82224
8450-12705       217485       107.812       59.5553       10.2000       -1.0000000       2.86467
8450-1901           -1      -1.00000      -1.00000      -1.00000        9.1009677       2.57970
8450-1902           -1      -1.00000      -1.00000      -1.00000        9.4070738       2.62732
8450-3701           -1      -1.00000      -1.00000      -1.00000        10.593523       2.46665
8450-3702           -1      -1.00000      -1.00000      -1.00000        10.018693       3.25232
8450-3703       210265       17.7170       5.68220       9.84000       -1.0000000       2.48050
8450-3704           -1      -1.00000      -1.00000      -1.00000        9.7304985       2.54723
8450-6101       210356       10.9962       2.90350       9.48000       -1.0000000       2.67623
8450-6102       210336       54.3358       1.03574       9.72000       -1.0000000       2.59258
8450-6103           -1      -1.00000      -1.00000      -1.00000        9.5383620       2.41778
8450-6104           -1      -1.00000      -1.00000      -1.00000        9.5375567       2.57968
8450-9101           -1      -1.00000      -1.00000      -1.00000        9.2595584       2.72551
8450-9102       741024       86.0423       37.7701       10.1000       -1.0000000       2.71297
8462-12701       195332       16.6841       2.14624       9.39000       -1.0000000       2.56199
8462-9102       727562       53.0389       112.763       9.15000       -1.0000000       3.06941
8479-3703           -1      -1.00000      -1.00000      -1.00000        9.1533948       2.37106
8480-3701           -1      -1.00000      -1.00000      -1.00000        9.1533948       2.37106
8554-12701           -1      -1.00000      -1.00000      -1.00000        10.498886       3.91001
8554-12704         7199       17.6039    0.00425800       7.24000       -1.0000000      -1.00000
8554-12705           -1      -1.00000      -1.00000      -1.00000        9.4764488       3.07730
8554-1902           -1      -1.00000      -1.00000      -1.00000        9.0058023       2.23930
8554-3701           -1      -1.00000      -1.00000      -1.00000        9.1660896       3.06255
8554-3703           -1      -1.00000      -1.00000      -1.00000        9.3945877       2.54371
8554-3704           -1      -1.00000      -1.00000      -1.00000        9.5358023       3.25709
8554-6101       227047       20.4185       22.1892       9.62000       -1.0000000       3.56217
8554-6102           -1      -1.00000      -1.00000      -1.00000        10.760583       3.57843
8554-6104           -1      -1.00000      -1.00000      -1.00000        10.066299       3.57626
8655-12701       630771       11.6113       4.25954       9.69000       -1.0000000       2.48881
8655-12702           -1      -1.00000      -1.00000      -1.00000        9.2753084       4.14361
8655-12703       730026       28.3064       2.64456       9.84000       -1.0000000       3.77900
8655-12704           -1      -1.00000      -1.00000      -1.00000        9.7740083       4.75343
8655-12705           -1      -1.00000      -1.00000      -1.00000        9.8781920       4.26627
8655-1901           -1      -1.00000      -1.00000      -1.00000        9.1273551       3.16845
8655-1902           -1      -1.00000      -1.00000      -1.00000        9.0805186       2.88253
8655-3701           -1      -1.00000      -1.00000      -1.00000        10.308665       4.64027
8655-3702           -1      -1.00000      -1.00000      -1.00000        10.297789       3.35658
8655-3703           -1      -1.00000      -1.00000      -1.00000        9.6515712       3.59495
8655-3704           -1      -1.00000      -1.00000      -1.00000        9.2584505       4.08028
8655-6101           -1      -1.00000      -1.00000      -1.00000        9.2537957       4.04478
8655-6102       630700       20.5893       5.75044       9.59000       -1.0000000       2.71392
8655-6103           -1      -1.00000      -1.00000      -1.00000        9.5841918       3.20739
8655-6104           -1      -1.00000      -1.00000      -1.00000        9.3554042       3.69090
8655-9101           -1      -1.00000      -1.00000      -1.00000        10.392436       3.32578
8655-9102           -1      -1.00000      -1.00000      -1.00000        9.8494218       4.07436
8656-12701       102402       16.8095       3.01628       10.2800       -1.0000000       2.65273
8656-12702           -1      -1.00000      -1.00000      -1.00000        10.106854       3.93657
8656-12703       102414       42.6092       5.35324       9.76000       -1.0000000       3.29737
8656-12704           -1      -1.00000      -1.00000      -1.00000        9.7991793       4.34764
8656-12705           -1      -1.00000      -1.00000      -1.00000        10.143906       4.69431
8656-1901       101153       10.0460       27.0714       9.22000       -1.0000000       3.35870
8656-1902           -1      -1.00000      -1.00000      -1.00000        9.7045638       4.07215
8656-3701           -1      -1.00000      -1.00000      -1.00000        9.8821886       4.36602
8656-3702           -1      -1.00000      -1.00000      -1.00000        9.6507928       3.18233
8656-3703       101154       70.3141       2.13602       9.22000       -1.0000000       3.06187
8656-6101           -1      -1.00000      -1.00000      -1.00000        9.0889415       3.75001
8656-6102           -1      -1.00000      -1.00000      -1.00000        9.7548907       3.95158
8656-6103           -1      -1.00000      -1.00000      -1.00000        10.155923       4.47342
8656-9102           -1      -1.00000      -1.00000      -1.00000        10.162040       3.84217
8657-12701       401226       2.90729       11.7055       9.79000       -1.0000000       3.39714
8657-12702           -1      -1.00000      -1.00000      -1.00000        9.6800305       2.74561
8657-12703           -1      -1.00000      -1.00000      -1.00000        9.7812542       3.66244
8657-12704       102473       67.7806       13.0937       9.41000       -1.0000000       5.33069
8657-12705           -1      -1.00000      -1.00000      -1.00000        9.1257778       4.14521
8657-1901           -1      -1.00000      -1.00000      -1.00000        9.4826141       5.23958
8657-1902           -1      -1.00000      -1.00000      -1.00000        10.193800       3.92115
8657-3701           -1      -1.00000      -1.00000      -1.00000        9.6976727       3.40503
8657-3702           -1      -1.00000      -1.00000      -1.00000        9.5447265       3.22397
8657-3703           -1      -1.00000      -1.00000      -1.00000        8.9443417       3.17718
8657-3704           -1      -1.00000      -1.00000      -1.00000        9.6870749       3.28140
8657-6101           -1      -1.00000      -1.00000      -1.00000        9.7552841       5.39641
8657-6102           -1      -1.00000      -1.00000      -1.00000        8.8977145       2.39886
8657-6103           -1      -1.00000      -1.00000      -1.00000        10.196826       3.05599
8657-6104       102474       31.2479       4.10826       9.19000       -1.0000000       2.99235
8657-9101           -1      -1.00000      -1.00000      -1.00000        9.8710361       4.16281
8657-9102           -1      -1.00000      -1.00000      -1.00000        10.357375       3.97183
8931-12701       732340       19.7623       27.9813       10.0000       -1.0000000       2.64542
8931-12702       221060       4.26710      0.905760       10.2800       -1.0000000       2.45107
8931-12703           -1      -1.00000      -1.00000      -1.00000        8.9169353       2.34922
8931-12704           -1      -1.00000      -1.00000      -1.00000        9.1325007       2.42314
8931-12705           -1      -1.00000      -1.00000      -1.00000        9.1816663       2.42253
8931-1901           -1      -1.00000      -1.00000      -1.00000        9.0717391       2.26956
8931-1902           -1      -1.00000      -1.00000      -1.00000        8.8726677       2.45921
8931-3701           -1      -1.00000      -1.00000      -1.00000        9.0478475       2.47762
8931-3702           -1      -1.00000      -1.00000      -1.00000        9.0937838       2.33359
8931-3703           -1      -1.00000      -1.00000      -1.00000        9.0069078       2.15309
8931-3704           -1      -1.00000      -1.00000      -1.00000        8.7788884       1.82858
8931-6101           -1      -1.00000      -1.00000      -1.00000        8.9608576       2.42893
8931-6102           -1      -1.00000      -1.00000      -1.00000        9.1440668       2.27562
8931-6103           -1      -1.00000      -1.00000      -1.00000        9.0369690       2.42632
8931-6104           -1      -1.00000      -1.00000      -1.00000        9.0722158       2.27123
8931-9101           -1      -1.00000      -1.00000      -1.00000        8.9610835       2.39875
8931-9102           -1      -1.00000      -1.00000      -1.00000        8.8384687       1.70630
8932-12701       221130       14.0145       40.2858       9.24000       -1.0000000       2.40337
8932-12702           -1      -1.00000      -1.00000      -1.00000        8.9225537       2.31107
8932-12703           -1      -1.00000      -1.00000      -1.00000        8.9534440       1.80874
8932-12704           -1      -1.00000      -1.00000      -1.00000        8.9614705       1.74502
8932-12705           -1      -1.00000      -1.00000      -1.00000        9.1954953       2.33739
8932-1901           -1      -1.00000      -1.00000      -1.00000        9.1420797       2.49918
8932-1902           -1      -1.00000      -1.00000      -1.00000        9.0391038       2.46473
8932-3701       221235       79.0857       1.31638       9.38000       -1.0000000       2.57204
8932-3702           -1      -1.00000      -1.00000      -1.00000        8.9617944       1.89638
8932-3703           -1      -1.00000      -1.00000      -1.00000        8.9303511       2.17145
8932-3704           -1      -1.00000      -1.00000      -1.00000        9.0756434       2.33210
8932-6101           -1      -1.00000      -1.00000      -1.00000        9.1895771       2.54655
8932-6102           -1      -1.00000      -1.00000      -1.00000        8.9121163       2.31218
8932-6103           -1      -1.00000      -1.00000      -1.00000        8.9198010       2.35616
8932-6104           -1      -1.00000      -1.00000      -1.00000        9.0589788       2.07238
8932-9101           -1      -1.00000      -1.00000      -1.00000        8.8674872       2.17047
8932-9102       230083       29.8152       15.1824       9.36000       -1.0000000       2.35578
8933-12701           -1      -1.00000      -1.00000      -1.00000        9.6565275       2.55065
