plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
10503-12703,113.5,114.0,3,2,2,0,0,0
10503-12704,119.0,113.5,3,2,2,0,0,0
10503-1901,41.5,175.5,3,2,2,0,0,0
10503-3703,196.0,194.5,3,2,2,0,0,0
10503-6102,325.5,332.0,3,2,2,0,0,0
10503-9102,0.5,4.5,3,2,2,0,0,0
10504-12704,344.5,344.0,3,2,2,0,0,0
10504-3703,354.5,352.5,3,2,2,0,0,0
10504-6104,75.5,77.5,3,2,2,0,0,0
10504-9101,340.0,340.0,3,2,2,0,0,0
10504-9102,326.0,321.5,3,2,2,0,0,0
10506-12702,315.0,315.0,3,2,2,0,0,0
10506-12703,33.0,34.5,3,2,2,0,0,0
10506-6101,283.5,287.5,3,2,2,0,0,0
10506-6102,177.0,178.0,3,2,2,0,0,0
10506-9101,234.0,234.5,3,2,2,0,0,0
10507-12703,155.0,155.5,3,2,2,0,0,0
10507-12705,61.0,60.0,3,2,2,0,0,0
10507-3701,204.0,207.0,3,2,2,0,0,0
10507-3702,1.0,355.5,3,2,2,0,0,0
10507-3704,162.5,161.0,3,2,2,0,0,0
10507-6101,256.5,261.5,3,2,2,0,0,0
10507-6102,274.5,271.0,3,2,2,0,0,0
10507-6103,281.5,286.0,3,2,2,0,0,0
10507-6104,114.0,108.5,3,2,2,0,0,0
10507-9101,252.5,252.5,3,2,2,0,0,0
10507-9102,236.0,237.5,3,2,2,0,0,0
10508-12701,299.5,300.0,3,2,2,0,0,0
10508-12702,287.5,288.5,3,2,2,0,0,0
10508-12703,114.0,116.0,3,2,2,0,0,0
10508-12704,58.5,61.5,3,2,2,0,0,0
10508-6101,325.5,317.5,3,2,2,0,0,0
10508-6104,53.0,59.0,3,2,2,0,0,0
10509-12701,294.5,292.0,3,2,2,0,0,0
10509-12702,245.0,244.5,3,2,2,0,0,0
10509-12703,131.0,133.5,3,2,2,0,0,0
10509-3701,318.0,316.0,3,2,2,0,0,0
10509-3704,169.5,167.0,3,2,2,0,0,0
10509-6102,281.0,285.0,3,2,2,0,0,0
10509-6104,164.0,166.0,3,2,2,0,0,0
10509-9101,125.0,121.0,3,2,2,0,0,0
10510-1901,90.0,306.5,3,2,2,0,0,0
10510-3704,194.5,20.0,3,2,2,0,0,0
10510-6101,213.5,221.0,3,2,2,0,0,0
10511-12705,34.0,29.5,3,2,2,0,0,0
10511-3701,166.5,157.5,3,2,2,0,0,0
10511-3703,303.5,301.0,3,2,2,0,0,0
10511-3704,318.0,119.0,3,2,2,0,0,0
10511-6101,23.5,42.0,3,2,2,0,0,0
10511-6102,39.5,34.5,3,2,2,0,0,0
10512-12701,16.0,16.0,3,2,2,0,0,0
10512-12702,308.0,306.5,3,2,2,0,0,0
10512-12703,358.0,352.0,3,2,2,0,0,0
10512-12704,159.5,158.0,3,2,2,0,0,0
10512-12705,182.5,186.5,3,2,2,0,0,0
10512-3703,73.0,67.0,3,2,2,0,0,0
10512-6102,33.5,30.0,3,2,2,0,0,0
10512-6103,121.0,122.0,3,2,2,0,0,0
10512-6104,115.5,117.0,3,2,2,0,0,0
10512-9101,134.0,137.0,3,2,2,0,0,0
10512-9102,224.0,226.0,3,2,2,0,0,0
10514-12701,91.0,89.5,3,2,2,0,0,0
10514-12702,23.0,17.5,3,2,2,0,0,0
10514-12703,333.5,327.5,3,2,2,0,0,0
10514-6101,113.5,110.0,3,2,2,0,0,0
10514-6103,224.0,220.5,3,2,2,0,0,0
10514-9101,53.0,63.0,3,2,2,0,0,0
10514-9102,229.5,224.5,3,2,2,0,0,0
10516-12701,302.0,293.0,3,2,2,0,0,0
10516-1901,97.0,96.0,3,2,2,0,0,0
10516-1902,320.5,319.0,3,2,2,0,0,0
10516-3702,335.5,332.5,3,2,2,0,0,0
10516-3704,322.5,318.0,3,2,2,0,0,0
10516-6104,247.5,263.5,3,2,2,0,0,0
10517-12701,59.0,51.0,3,2,2,0,0,0
10517-12703,276.5,278.5,3,2,2,0,0,0
10517-3701,247.0,243.0,3,2,2,0,0,0
10517-3704,279.0,277.5,3,2,2,0,0,0
10517-6101,59.0,246.0,3,2,2,0,0,0
10517-6102,357.0,354.5,3,2,2,0,0,0
10517-9101,91.0,88.5,3,2,2,0,0,0
10517-9102,139.5,323.0,3,2,2,0,0,0
10519-12701,271.5,271.5,3,2,2,0,0,0
10519-12702,183.5,182.5,3,2,2,0,0,0
10519-12704,305.5,306.5,3,2,2,0,0,0
10519-12705,175.5,176.0,3,2,2,0,0,0
10519-1901,205.0,207.5,3,2,2,0,0,0
10519-6102,269.0,269.5,3,2,2,0,0,0
10519-6104,235.0,237.5,3,2,2,0,0,0
10519-9101,268.5,268.5,3,2,2,0,0,0
10519-9102,233.5,235.5,3,2,2,0,0,0
7443-12704,308.5,314.0,3,2,2,0,0,0
7443-12705,42.5,40.5,3,2,2,0,0,0
7443-6102,136.0,135.5,3,2,2,0,0,0
7443-6103,191.5,199.0,3,2,2,0,0,0
7443-6104,287.5,103.0,3,2,2,0,0,0
7495-12702,11.0,12.0,3,2,2,0,0,0
