plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
8720-6102,162.0,159.0,6,1,1,3,3,0
8721-6102,49.0,43.5,6,0,0,3,3,0
8722-3701,56.5,21.5,6,0,0,0,0,0
8934-12702,358.5,39.5,6,2,2,0,2,0
8939-12701,57.5,49.5,6,0,0,3,3,0
8939-12702,269.5,80.5,6,0,0,3,3,0
8943-9101,360.0,315.0,6,0,0,3,3,0
8952-6101,49.0,244.0,6,1,0,3,3,0
8978-12702,55.5,57.0,6,1,1,3,3,0
8978-12705,98.0,103.0,6,0,0,3,3,0
8981-6104,153.0,161.5,6,1,1,3,3,0
8983-12703,233.0,209.0,6,0,0,3,3,0
8984-9101,221.5,70.0,6,0,0,0,0,1
8986-12704,350.5,339.5,6,0,0,3,3,0
8988-3702,287.5,259.5,6,1,2,0,0,0
8989-12701,43.5,52.0,6,1,1,3,3,0
8997-12702,304.5,198.5,6,0,0,3,3,0
9001-12705,275.0,353.0,6,0,0,3,3,0
9025-6102,138.5,210.0,6,0,0,3,3,0
9030-12701,163.0,177.0,6,0,0,3,3,0
9033-1901,102.0,25.0,6,0,1,0,0,0
9037-12705,106.0,111.0,6,0,0,3,3,0
9045-9101,231.5,237.0,6,0,0,3,3,0
9049-12701,227.5,196.0,6,0,0,3,3,0
9086-6101,330.0,2.5,6,0,1,0,3,0
9088-9102,6.0,21.0,6,0,0,3,3,0
9089-12703,279.0,286.0,6,0,0,3,3,0
9091-12705,249.0,261.5,6,0,0,3,3,0
9091-6101,44.5,7.5,6,0,0,3,3,0
9094-1902,350.0,11.0,6,0,0,3,3,0
9182-1901,224.0,258.5,6,1,0,0,0,0
9183-3703,294.5,347.0,6,2,0,0,2,0
9184-6102,187.5,210.0,6,1,1,3,3,0
9193-12702,111.0,92.0,6,0,1,0,2,0
9194-12702,108.5,83.5,6,0,1,0,2,0
9194-6102,3.5,355.5,6,1,1,3,3,0
9485-12704,164.0,154.5,6,0,0,3,3,0
9493-6102,94.0,86.5,6,1,1,3,3,0
9497-6104,12.0,84.5,6,1,1,0,0,0
9504-9102,323.5,330.5,6,0,0,3,3,0
9506-12702,203.5,186.5,6,0,0,3,3,0
9507-12704,77.0,137.5,6,0,0,3,3,0
9508-12704,251.0,255.0,6,1,1,3,3,0
9510-12704,94.5,47.0,6,0,0,3,3,0
9511-6102,261.5,176.0,6,2,2,0,0,0
9514-12702,54.0,181.5,6,0,0,3,3,0
9678-12703,193.0,152.5,6,0,0,0,0,0
9863-12701,255.0,197.5,6,1,1,0,0,0
9864-9101,348.5,52.0,6,0,0,3,3,0
9866-12704,184.0,162.0,6,0,0,3,3,0
9868-6103,33.0,30.0,6,0,0,3,3,0
9871-12703,272.0,159.0,6,0,0,3,3,0
9871-3704,358.0,100.5,6,1,0,0,1,0
9879-12704,274.0,275.0,6,1,1,3,3,0
9881-9102,238.0,245.5,6,0,0,3,3,0
9884-6101,103.5,107.0,6,0,0,3,3,0
9887-1901,358.5,256.0,6,0,0,0,0,0
9892-6102,132.0,226.5,6,1,1,3,3,0
9893-3702,194.0,41.5,6,1,0,3,3,0
9894-9102,44.0,56.0,6,0,0,3,3,0
